ano,sigla_uf,consumo_anual_uf,codarea
2021,RO,1584155.42,11
2021,AC,525328.8400000001,12
2021,AM,2917092.52,13
2021,RR,502832.5900000001,14
2021,PA,10345601.23,15
2021,AP,549809.0,16
2021,TO,1215001.64,17
2021,MA,3785998.04,21
2021,PI,1878765.0,22
2021,CE,6221163.35,23
2021,RN,3005395.0,24
2021,PB,2901199.55,25
2021,PE,7588842.2299999995,26
2021,AL,2325486.62,27
2021,SE,1933659.84,28
2021,BA,13220546.009999998,29
2021,MG,28841064.16,31
2021,ES,5165082.62,32
2021,RJ,19900001.349999998,33
2021,SP,69148553.279,35
2021,PR,17337953.731,41
2021,SC,14199091.92,42
2021,RS,15681261.599999998,43
2021,MS,3183869.4390000002,50
2021,MT,4697541.119999999,51
2021,GO,8365447.7700000005,52
2021,DF,3144959.7899999996,53
